date,year,month,month_name,quarter,day,weekday_name,week_of_year,is_weekend
2015-03-06,2015,3,March,1,6,Friday,10,0
2015-03-07,2015,3,March,1,7,Saturday,10,1
2015-03-08,2015,3,March,1,8,Sunday,10,1
2015-03-09,2015,3,March,1,9,Monday,11,0
2015-03-10,2015,3,March,1,10,Tuesday,11,0
2015-03-11,2015,3,March,1,11,Wednesday,11,0
2015-03-12,2015,3,March,1,12,Thursday,11,0
2015-03-13,2015,3,March,1,13,Friday,11,0
2015-03-14,2015,3,March,1,14,Saturday,11,1
2015-03-15,2015,3,March,1,15,Sunday,11,1
2015-03-16,2015,3,March,1,16,Monday,12,0
2015-03-17,2015,3,March,1,17,Tuesday,12,0
2015-03-18,2015,3,March,1,18,Wednesday,12,0
2015-03-19,2015,3,March,1,19,Thursday,12,0
2015-03-20,2015,3,March,1,20,Friday,12,0
2015-03-21,2015,3,March,1,21,Saturday,12,1
2015-03-22,2015,3,March,1,22,Sunday,12,1
2015-03-23,2015,3,March,1,23,Monday,13,0
2015-03-24,2015,3,March,1,24,Tuesday,13,0
2015-03-25,2015,3,March,1,25,Wednesday,13,0
2015-03-26,2015,3,March,1,26,Thursday,13,0
2015-03-27,2015,3,March,1,27,Friday,13,0
2015-03-28,2015,3,March,1,28,Saturday,13,1
2015-03-29,2015,3,March,1,29,Sunday,13,1
2015-03-30,2015,3,March,1,30,Monday,14,0
2015-03-31,2015,3,March,1,31,Tuesday,14,0
2015-04-01,2015,4,April,2,1,Wednesday,14,0
2015-04-02,2015,4,April,2,2,Thursday,14,0
2015-04-03,2015,4,April,2,3,Friday,14,0
2015-04-04,2015,4,April,2,4,Saturday,14,1
2015-04-05,2015,4,April,2,5,Sunday,14,1
2015-04-06,2015,4,April,2,6,Monday,15,0
2015-04-07,2015,4,April,2,7,Tuesday,15,0
2015-04-08,2015,4,April,2,8,Wednesday,15,0
2015-04-09,2015,4,April,2,9,Thursday,15,0
2015-04-10,2015,4,April,2,10,Friday,15,0
2015-04-11,2015,4,April,2,11,Saturday,15,1
2015-04-12,2015,4,April,2,12,Sunday,15,1
2015-04-13,2015,4,April,2,13,Monday,16,0
2015-04-14,2015,4,April,2,14,Tuesday,16,0
2015-04-15,2015,4,April,2,15,Wednesday,16,0
2015-04-16,2015,4,April,2,16,Thursday,16,0
2015-04-17,2015,4,April,2,17,Friday,16,0
2015-04-18,2015,4,April,2,18,Saturday,16,1
2015-04-19,2015,4,April,2,19,Sunday,16,1
2015-04-20,2015,4,April,2,20,Monday,17,0
2015-04-21,2015,4,April,2,21,Tuesday,17,0
2015-04-22,2015,4,April,2,22,Wednesday,17,0
2015-04-23,2015,4,April,2,23,Thursday,17,0
2015-04-24,2015,4,April,2,24,Friday,17,0
2015-04-25,2015,4,April,2,25,Saturday,17,1
2015-04-26,2015,4,April,2,26,Sunday,17,1
2015-04-27,2015,4,April,2,27,Monday,18,0
2015-04-28,2015,4,April,2,28,Tuesday,18,0
2015-04-29,2015,4,April,2,29,Wednesday,18,0
2015-04-30,2015,4,April,2,30,Thursday,18,0
2015-05-01,2015,5,May,2,1,Friday,18,0
2015-05-02,2015,5,May,2,2,Saturday,18,1
2015-05-03,2015,5,May,2,3,Sunday,18,1
2015-05-04,2015,5,May,2,4,Monday,19,0
2015-05-05,2015,5,May,2,5,Tuesday,19,0
2015-05-06,2015,5,May,2,6,Wednesday,19,0
2015-05-07,2015,5,May,2,7,Thursday,19,0
2015-05-08,2015,5,May,2,8,Friday,19,0
2015-05-09,2015,5,May,2,9,Saturday,19,1
2015-05-10,2015,5,May,2,10,Sunday,19,1
2015-05-11,2015,5,May,2,11,Monday,20,0
2015-05-12,2015,5,May,2,12,Tuesday,20,0
2015-05-13,2015,5,May,2,13,Wednesday,20,0
2015-05-14,2015,5,May,2,14,Thursday,20,0
2015-05-15,2015,5,May,2,15,Friday,20,0
2015-05-16,2015,5,May,2,16,Saturday,20,1
2015-05-17,2015,5,May,2,17,Sunday,20,1
2015-05-18,2015,5,May,2,18,Monday,21,0
2015-05-19,2015,5,May,2,19,Tuesday,21,0
2015-05-20,2015,5,May,2,20,Wednesday,21,0
2015-05-21,2015,5,May,2,21,Thursday,21,0
2015-05-22,2015,5,May,2,22,Friday,21,0
2015-05-23,2015,5,May,2,23,Saturday,21,1
2015-05-24,2015,5,May,2,24,Sunday,21,1
2015-05-25,2015,5,May,2,25,Monday,22,0
2015-05-26,2015,5,May,2,26,Tuesday,22,0
2015-05-27,2015,5,May,2,27,Wednesday,22,0
2015-05-28,2015,5,May,2,28,Thursday,22,0
2015-05-29,2015,5,May,2,29,Friday,22,0
2015-05-30,2015,5,May,2,30,Saturday,22,1
2015-05-31,2015,5,May,2,31,Sunday,22,1
2015-06-01,2015,6,June,2,1,Monday,23,0
2015-06-02,2015,6,June,2,2,Tuesday,23,0
2015-06-03,2015,6,June,2,3,Wednesday,23,0
2015-06-04,2015,6,June,2,4,Thursday,23,0
2015-06-05,2015,6,June,2,5,Friday,23,0
2015-06-06,2015,6,June,2,6,Saturday,23,1
2015-06-07,2015,6,June,2,7,Sunday,23,1
2015-06-08,2015,6,June,2,8,Monday,24,0
2015-06-09,2015,6,June,2,9,Tuesday,24,0
2015-06-10,2015,6,June,2,10,Wednesday,24,0
2015-06-11,2015,6,June,2,11,Thursday,24,0
2015-06-12,2015,6,June,2,12,Friday,24,0
2015-06-13,2015,6,June,2,13,Saturday,24,1
2015-06-14,2015,6,June,2,14,Sunday,24,1
2015-06-15,2015,6,June,2,15,Monday,25,0
2015-06-16,2015,6,June,2,16,Tuesday,25,0
2015-06-17,2015,6,June,2,17,Wednesday,25,0
2015-06-18,2015,6,June,2,18,Thursday,25,0
2015-06-19,2015,6,June,2,19,Friday,25,0
2015-06-20,2015,6,June,2,20,Saturday,25,1
2015-06-21,2015,6,June,2,21,Sunday,25,1
2015-06-22,2015,6,June,2,22,Monday,26,0
2015-06-23,2015,6,June,2,23,Tuesday,26,0
2015-06-24,2015,6,June,2,24,Wednesday,26,0
2015-06-25,2015,6,June,2,25,Thursday,26,0
2015-06-26,2015,6,June,2,26,Friday,26,0
2015-06-27,2015,6,June,2,27,Saturday,26,1
2015-06-28,2015,6,June,2,28,Sunday,26,1
2015-06-29,2015,6,June,2,29,Monday,27,0
2015-06-30,2015,6,June,2,30,Tuesday,27,0
2015-07-01,2015,7,July,3,1,Wednesday,27,0
2015-07-02,2015,7,July,3,2,Thursday,27,0
2015-07-03,2015,7,July,3,3,Friday,27,0
2015-07-04,2015,7,July,3,4,Saturday,27,1
2015-07-05,2015,7,July,3,5,Sunday,27,1
2015-07-06,2015,7,July,3,6,Monday,28,0
2015-07-07,2015,7,July,3,7,Tuesday,28,0
2015-07-08,2015,7,July,3,8,Wednesday,28,0
2015-07-09,2015,7,July,3,9,Thursday,28,0
2015-07-10,2015,7,July,3,10,Friday,28,0
2015-07-11,2015,7,July,3,11,Saturday,28,1
2015-07-12,2015,7,July,3,12,Sunday,28,1
2015-07-13,2015,7,July,3,13,Monday,29,0
2015-07-14,2015,7,July,3,14,Tuesday,29,0
2015-07-15,2015,7,July,3,15,Wednesday,29,0
2015-07-16,2015,7,July,3,16,Thursday,29,0
2015-07-17,2015,7,July,3,17,Friday,29,0
2015-07-18,2015,7,July,3,18,Saturday,29,1
2015-07-19,2015,7,July,3,19,Sunday,29,1
2015-07-20,2015,7,July,3,20,Monday,30,0
2015-07-21,2015,7,July,3,21,Tuesday,30,0
2015-07-22,2015,7,July,3,22,Wednesday,30,0
2015-07-23,2015,7,July,3,23,Thursday,30,0
2015-07-24,2015,7,July,3,24,Friday,30,0
2015-07-25,2015,7,July,3,25,Saturday,30,1
2015-07-26,2015,7,July,3,26,Sunday,30,1
2015-07-27,2015,7,July,3,27,Monday,31,0
2015-07-28,2015,7,July,3,28,Tuesday,31,0
2015-07-29,2015,7,July,3,29,Wednesday,31,0
2015-07-30,2015,7,July,3,30,Thursday,31,0
2015-07-31,2015,7,July,3,31,Friday,31,0
2015-08-01,2015,8,August,3,1,Saturday,31,1
2015-08-02,2015,8,August,3,2,Sunday,31,1
2015-08-03,2015,8,August,3,3,Monday,32,0
2015-08-04,2015,8,August,3,4,Tuesday,32,0
2015-08-05,2015,8,August,3,5,Wednesday,32,0
2015-08-06,2015,8,August,3,6,Thursday,32,0
2015-08-07,2015,8,August,3,7,Friday,32,0
2015-08-08,2015,8,August,3,8,Saturday,32,1
2015-08-09,2015,8,August,3,9,Sunday,32,1
2015-08-10,2015,8,August,3,10,Monday,33,0
2015-08-11,2015,8,August,3,11,Tuesday,33,0
2015-08-12,2015,8,August,3,12,Wednesday,33,0
2015-08-13,2015,8,August,3,13,Thursday,33,0
2015-08-14,2015,8,August,3,14,Friday,33,0
2015-08-15,2015,8,August,3,15,Saturday,33,1
2015-08-16,2015,8,August,3,16,Sunday,33,1
2015-08-17,2015,8,August,3,17,Monday,34,0
2015-08-18,2015,8,August,3,18,Tuesday,34,0
2015-08-19,2015,8,August,3,19,Wednesday,34,0
2015-08-20,2015,8,August,3,20,Thursday,34,0
2015-08-21,2015,8,August,3,21,Friday,34,0
2015-08-22,2015,8,August,3,22,Saturday,34,1
2015-08-23,2015,8,August,3,23,Sunday,34,1
2015-08-24,2015,8,August,3,24,Monday,35,0
2015-08-25,2015,8,August,3,25,Tuesday,35,0
2015-08-26,2015,8,August,3,26,Wednesday,35,0
2015-08-27,2015,8,August,3,27,Thursday,35,0
2015-08-28,2015,8,August,3,28,Friday,35,0
2015-08-29,2015,8,August,3,29,Saturday,35,1
2015-08-30,2015,8,August,3,30,Sunday,35,1
2015-08-31,2015,8,August,3,31,Monday,36,0
2015-09-01,2015,9,September,3,1,Tuesday,36,0
2015-09-02,2015,9,September,3,2,Wednesday,36,0
2015-09-03,2015,9,September,3,3,Thursday,36,0
2015-09-04,2015,9,September,3,4,Friday,36,0
2015-09-05,2015,9,September,3,5,Saturday,36,1
2015-09-06,2015,9,September,3,6,Sunday,36,1
2015-09-07,2015,9,September,3,7,Monday,37,0
2015-09-08,2015,9,September,3,8,Tuesday,37,0
2015-09-09,2015,9,September,3,9,Wednesday,37,0
2015-09-10,2015,9,September,3,10,Thursday,37,0
2015-09-11,2015,9,September,3,11,Friday,37,0
2015-09-12,2015,9,September,3,12,Saturday,37,1
2015-09-13,2015,9,September,3,13,Sunday,37,1
2015-09-14,2015,9,September,3,14,Monday,38,0
2015-09-15,2015,9,September,3,15,Tuesday,38,0
2015-09-16,2015,9,September,3,16,Wednesday,38,0
2015-09-17,2015,9,September,3,17,Thursday,38,0
2015-09-18,2015,9,September,3,18,Friday,38,0
2015-09-19,2015,9,September,3,19,Saturday,38,1
2015-09-20,2015,9,September,3,20,Sunday,38,1
2015-09-21,2015,9,September,3,21,Monday,39,0
2015-09-22,2015,9,September,3,22,Tuesday,39,0
2015-09-23,2015,9,September,3,23,Wednesday,39,0
2015-09-24,2015,9,September,3,24,Thursday,39,0
2015-09-25,2015,9,September,3,25,Friday,39,0
2015-09-26,2015,9,September,3,26,Saturday,39,1
2015-09-27,2015,9,September,3,27,Sunday,39,1
2015-09-28,2015,9,September,3,28,Monday,40,0
2015-09-29,2015,9,September,3,29,Tuesday,40,0
2015-09-30,2015,9,September,3,30,Wednesday,40,0
2015-10-01,2015,10,October,4,1,Thursday,40,0
2015-10-02,2015,10,October,4,2,Friday,40,0
2015-10-03,2015,10,October,4,3,Saturday,40,1
2015-10-04,2015,10,October,4,4,Sunday,40,1
2015-10-05,2015,10,October,4,5,Monday,41,0
2015-10-06,2015,10,October,4,6,Tuesday,41,0
2015-10-07,2015,10,October,4,7,Wednesday,41,0
2015-10-08,2015,10,October,4,8,Thursday,41,0
2015-10-09,2015,10,October,4,9,Friday,41,0
2015-10-10,2015,10,October,4,10,Saturday,41,1
2015-10-11,2015,10,October,4,11,Sunday,41,1
2015-10-12,2015,10,October,4,12,Monday,42,0
2015-10-13,2015,10,October,4,13,Tuesday,42,0
2015-10-14,2015,10,October,4,14,Wednesday,42,0
2015-10-15,2015,10,October,4,15,Thursday,42,0
2015-10-16,2015,10,October,4,16,Friday,42,0
2015-10-17,2015,10,October,4,17,Saturday,42,1
2015-10-18,2015,10,October,4,18,Sunday,42,1
2015-10-19,2015,10,October,4,19,Monday,43,0
2015-10-20,2015,10,October,4,20,Tuesday,43,0
2015-10-21,2015,10,October,4,21,Wednesday,43,0
2015-10-22,2015,10,October,4,22,Thursday,43,0
2015-10-23,2015,10,October,4,23,Friday,43,0
2015-10-24,2015,10,October,4,24,Saturday,43,1
2015-10-25,2015,10,October,4,25,Sunday,43,1
2015-10-26,2015,10,October,4,26,Monday,44,0
2015-10-27,2015,10,October,4,27,Tuesday,44,0
2015-10-28,2015,10,October,4,28,Wednesday,44,0
2015-10-29,2015,10,October,4,29,Thursday,44,0
2015-10-30,2015,10,October,4,30,Friday,44,0
2015-10-31,2015,10,October,4,31,Saturday,44,1
2015-11-01,2015,11,November,4,1,Sunday,44,1
2015-11-02,2015,11,November,4,2,Monday,45,0
2015-11-03,2015,11,November,4,3,Tuesday,45,0
2015-11-04,2015,11,November,4,4,Wednesday,45,0
2015-11-05,2015,11,November,4,5,Thursday,45,0
2015-11-06,2015,11,November,4,6,Friday,45,0
2015-11-07,2015,11,November,4,7,Saturday,45,1
2015-11-08,2015,11,November,4,8,Sunday,45,1
2015-11-09,2015,11,November,4,9,Monday,46,0
2015-11-10,2015,11,November,4,10,Tuesday,46,0
2015-11-11,2015,11,November,4,11,Wednesday,46,0
2015-11-12,2015,11,November,4,12,Thursday,46,0
2015-11-13,2015,11,November,4,13,Friday,46,0
2015-11-14,2015,11,November,4,14,Saturday,46,1
2015-11-15,2015,11,November,4,15,Sunday,46,1
2015-11-16,2015,11,November,4,16,Monday,47,0
2015-11-17,2015,11,November,4,17,Tuesday,47,0
2015-11-18,2015,11,November,4,18,Wednesday,47,0
2015-11-19,2015,11,November,4,19,Thursday,47,0
2015-11-20,2015,11,November,4,20,Friday,47,0
2015-11-21,2015,11,November,4,21,Saturday,47,1
2015-11-22,2015,11,November,4,22,Sunday,47,1
2015-11-23,2015,11,November,4,23,Monday,48,0
2015-11-24,2015,11,November,4,24,Tuesday,48,0
2015-11-25,2015,11,November,4,25,Wednesday,48,0
2015-11-26,2015,11,November,4,26,Thursday,48,0
2015-11-27,2015,11,November,4,27,Friday,48,0
2015-11-28,2015,11,November,4,28,Saturday,48,1
2015-11-29,2015,11,November,4,29,Sunday,48,1
2015-11-30,2015,11,November,4,30,Monday,49,0
2015-12-01,2015,12,December,4,1,Tuesday,49,0
2015-12-02,2015,12,December,4,2,Wednesday,49,0
2015-12-03,2015,12,December,4,3,Thursday,49,0
2015-12-04,2015,12,December,4,4,Friday,49,0
2015-12-05,2015,12,December,4,5,Saturday,49,1
2015-12-06,2015,12,December,4,6,Sunday,49,1
2015-12-07,2015,12,December,4,7,Monday,50,0
2015-12-08,2015,12,December,4,8,Tuesday,50,0
2015-12-09,2015,12,December,4,9,Wednesday,50,0
2015-12-10,2015,12,December,4,10,Thursday,50,0
2015-12-11,2015,12,December,4,11,Friday,50,0
2015-12-12,2015,12,December,4,12,Saturday,50,1
2015-12-13,2015,12,December,4,13,Sunday,50,1
2015-12-14,2015,12,December,4,14,Monday,51,0
2015-12-15,2015,12,December,4,15,Tuesday,51,0
2015-12-16,2015,12,December,4,16,Wednesday,51,0
2015-12-17,2015,12,December,4,17,Thursday,51,0
2015-12-18,2015,12,December,4,18,Friday,51,0
2015-12-19,2015,12,December,4,19,Saturday,51,1
2015-12-20,2015,12,December,4,20,Sunday,51,1
2015-12-21,2015,12,December,4,21,Monday,52,0
2015-12-22,2015,12,December,4,22,Tuesday,52,0
2015-12-23,2015,12,December,4,23,Wednesday,52,0
2015-12-24,2015,12,December,4,24,Thursday,52,0
2015-12-25,2015,12,December,4,25,Friday,52,0
2015-12-26,2015,12,December,4,26,Saturday,52,1
2015-12-27,2015,12,December,4,27,Sunday,52,1
2015-12-28,2015,12,December,4,28,Monday,53,0
2015-12-29,2015,12,December,4,29,Tuesday,53,0
2015-12-30,2015,12,December,4,30,Wednesday,53,0
2015-12-31,2015,12,December,4,31,Thursday,53,0
